value,timestamp
1520,188.781212009
1504,
1456,
1552,
1504,
1520,
1568,
1488,
1552,
1536,
1488,
1552,
1504,
1472,
1520,
1520,
1504,
1552,
1568,
1552,
1504,
1520,
1488,
1568,
1520,
1552,
1504,
1552,
1504,
1584,
1568,188.813918618
1584,
1552,
1552,
1504,
1568,
1584,
1552,
1568,
1520,
1568,
1520,
1568,
1568,
1552,
1568,
1552,
1552,
1584,
1552,
1568,
1504,
1600,
1568,
1552,
1568,
1520,
1584,
1520,
1552,
1536,188.834042707
1520,
1552,
1504,
1504,
1504,
1536,
1552,
1584,
1568,
1488,
1600,
1520,
1568,
1584,
1584,
1600,
1488,
1552,
1568,
1584,
1568,
1600,
1616,
1600,
1600,
1584,
1584,
1584,
1600,
1600,188.863670949
1552,
1488,
1504,
1552,
1552,
1552,
1584,
1552,
1520,
1584,
1600,
1584,
1552,
1536,
1584,
1520,
1488,
1552,
1568,
1568,
1568,
1568,
1520,
1552,
1440,
1552,
1520,
1504,
1552,
1456,188.894416935
1520,
1520,
1504,
1504,
1552,
1520,
1520,
1520,
1536,
1520,
1520,
1568,
1520,
1488,
1568,
1568,
1520,
1552,
1504,
1552,
1456,
1520,
1520,
1504,
1488,
1552,
1504,
1520,
1552,
1552,188.924525208
1488,
1584,
1568,
1552,
1584,
1600,
1584,
1600,
1600,
1504,
1600,
1584,
1568,
1616,
1616,
1600,
1600,
1600,
1600,
1584,
1552,
1600,
1552,
1616,
1616,
1568,
1600,
1568,
1584,
1584,
1568,188.954453182
1568,
1584,
1552,
1568,
1504,
1488,
1536,
1584,
1488,
1552,
1520,
1520,
1552,
1504,
1552,
1504,
1424,
1504,
1520,
1504,
1536,
1504,
1488,
1408,
1520,
1488,
1520,
1520,
1456,188.984109508
1504,
1520,
1520,
1536,
1520,
1456,
1520,
1552,
1520,
1408,
1488,
1504,
1552,
1488,
1456,
1552,
1520,
1520,
1568,
1520,
1488,
1520,
1552,
1536,
1456,
1552,
1472,
1520,
1520,
1552,189.014249198
1520,
1568,
1536,
1568,
1552,
1520,
1568,
1600,
1552,
1584,
1584,
1600,
1616,
1584,
1600,
1600,
1568,
1584,
1584,
1600,
1584,
1584,
1616,
1600,
1568,
1584,
1584,
1600,
1600,
1584,189.044437124
1584,
1584,
1568,
1568,
1568,
1584,
1568,
1584,
1568,
1552,
1552,
1552,
1568,
1568,
1584,
1568,
1520,
1536,
1568,
1584,
1584,
1568,
1600,
1600,
1536,
1568,
1584,
1552,
1584,
1552,189.074445418
1584,
1520,
1616,
1552,
1552,
1568,
1568,
1552,
1568,
1520,
1552,
1552,
1520,
1552,
1456,
1520,
1520,
1552,
1584,
1584,
1552,
1584,
1584,
1568,
1552,
1552,
1584,
1568,
1520,
1568,189.10393827
1536,
1568,
1552,
1568,
1584,
1600,
1552,
1536,
1536,
1568,
1568,
1584,
1584,
1584,
1456,
1552,
1536,
1520,
1568,
1584,
1504,
1552,
1552,
1552,
1568,
1552,
1520,
1520,
1520,
1520,189.149005886
1552,
1504,
1520,
1520,
1520,
1568,
1472,
1568,
1552,
1584,
1536,
1584,
1504,
1520,
1552,
1568,
1536,
1488,
1568,
1520,
1504,
1440,
1520,
1536,
1520,
1488,
1456,
1472,
1504,
1392,189.179700652
1472,
1488,
1408,
1472,
1472,
1472,
1504,
1488,
1472,
1472,
1520,
1520,
1568,
1504,
1488,
1536,
1520,
1504,
1520,
1504,
1520,
1424,
1520,
1456,
1488,
1456,
1488,
1504,
1520,
1456,
1472,
1520,
1568,
1472,
1456,
1520,
1488,
1552,
1536,
1520,
1472,
1520,
1536,
1520,
1520,189.20939005
1520,
1504,
1520,
1472,
1536,
1536,
1552,
1520,
1488,
1520,
1456,
1552,
1520,
1472,
1504,
1520,
1552,
1552,
1568,
1552,
1600,
1568,
1600,
1552,
1584,
1504,
1568,
1600,
1584,
1552,
1552,189.239164847
1568,
1552,
1600,
1584,
1584,
1568,
1584,
1552,
1584,
1552,
1568,
1520,
1584,
1568,
1536,
1568,
1520,
1568,
1568,
1584,
1536,
1552,
1504,
1584,
1520,
1568,
1552,
1568,
1552,189.269479193
1584,
1568,
1504,
1568,
1568,
1584,
1584,
1600,
1520,
1552,
1552,
1584,
1568,
1552,
1552,
1568,
1520,
1520,
1504,
1536,
1552,
1536,
1552,
1552,
1504,
1520,
1520,
1552,
1552,
1568,189.299401099
1552,
1552,
