value,timestamp
1296,362.060309385
1312,
1360,
1344,
1296,
1312,
1296,
1296,
1328,
1328,
1344,
1296,
1312,
1376,
1312,
1312,
1328,
1280,
1312,
1360,
1328,
1296,
1296,
1344,
1280,
1312,
1344,
1312,
1376,
1392,362.119932413
1376,
1360,
1392,
1296,
1296,
1344,
1312,
1328,
1344,
1296,
1328,
1296,
1312,
1376,
1312,
1360,
1296,
1376,
1280,
1280,
1296,
1376,
1296,
1296,
1328,
1296,
1296,
1312,
1328,
1344,
1328,
1360,
1344,
1328,
1408,
1312,
1408,
1328,
1312,
1312,
1280,
1312,
1264,
1312,
1296,
1296,
1360,
1296,
1408,
1328,
1296,
1360,
1312,
1312,
1296,
1280,
1360,
1312,
1280,
1296,
1296,362.165403018
1280,
1280,
1280,
1312,
1392,
1360,
1392,
1328,
1296,
1392,
1280,
1328,
1344,
1296,
1296,
1344,
1296,
1312,
1344,
1312,
1296,
1360,
1312,
1344,
1376,
1328,
1328,
1328,
1280,
1328,
1296,
1296,
1280,
1312,
1296,
1328,
1312,
1392,
1376,
1392,
1296,
1328,
1312,
1328,
1328,362.195066663
1296,
1312,
1296,
1296,
1328,
1328,
1312,
1264,
1312,
1360,
1312,
1312,
1376,
1344,
1312,
1312,
1328,
1280,
1312,
1312,
1296,
1328,
1344,
1312,
1280,
1328,
1312,
1344,
1360,
1312,362.225197954
1312,
1296,
1312,
1328,
1344,
1296,
1328,
1328,
1312,
1296,
1344,
1296,
1376,
1344,
1312,
1312,
1312,
1392,
1328,
1280,
1328,
1296,
1280,
1296,
1328,
1312,
1328,
1328,
1280,
1264,362.254989493
1296,
1328,
1312,
1376,
1312,
1312,
1296,
1264,
1296,
1264,
1296,
1280,
1280,
1296,
1328,
1312,
1376,
1392,
1264,
1296,
1264,
1328,
1296,
1264,
1296,
1248,
1248,
1280,
1264,
1328,362.285184346
1264,
1328,
1360,
1360,
1280,
1344,
1312,
1296,
1280,
1264,
1376,
1312,
1280,
1312,
1280,
1264,
1328,
1264,
1296,
1312,
1344,
1360,
1296,
1280,
1312,
1360,
1312,
1328,
1264,362.315080986
1248,
1280,
1280,
1280,
1264,
1296,
1264,
1360,
1280,
